transaction_id,montant_eur,heure,anciennete_client_j,nb_articles,distance_domicile_km
TXS1-00001,68.12,14.65,29,2,1.27
TXS1-00002,31.59,23.21,167,2,3.78
TXS1-00003,15.79,9.6,36,5,9.75
TXS1-00004,83.15,12.2,30,4,1.94
TXS1-00005,11.65,13.29,48,2,5.44
TXS1-00006,26.75,19.8,79,5,0.68
TXS1-00007,37.08,14.53,534,6,13.34
TXS1-00008,21.44,21.31,600,3,8.56
TXS1-00009,27.8,15.89,641,2,3.85
TXS1-00010,55.66,12.07,472,5,10.48
TXS1-00011,37.46,14.8,206,3,8.74
TXS1-00012,160.0,15.42,33,1,1.95
TXS1-00013,30.7,19.43,929,4,17.95
TXS1-00014,33.51,14.04,980,3,3.04
TXS1-00015,81.28,11.56,56,2,2.25
TXS1-00016,73.3,11.54,396,3,12.53
TXS1-00017,92.49,12.07,331,3,1.7
TXS1-00018,28.8,18.08,167,2,2.71
TXS1-00019,55.84,14.6,69,2,9.58
TXS1-00020,16.33,12.12,152,1,5.46
TXS1-00021,28.15,11.32,1437,3,2.39
TXS1-00022,22.54,18.56,485,3,0.55
TXS1-00023,47.36,13.44,270,3,14.61
TXS1-00024,80.49,19.48,1159,1,10.26
TXS1-00025,30.5,13.1,186,1,0.61
TXS1-00026,33.11,13.95,636,3,9.15
TXS1-00027,69.82,7.84,217,6,1.09
TXS1-00028,22.31,10.96,656,2,8.29
TXS1-00029,89.22,19.32,135,1,21.65
TXS1-00030,9.46,16.13,90,1,6.86
TXS1-00031,29.16,15.35,1289,3,1.62
TXS1-00032,36.02,20.82,81,2,5.08
TXS1-00033,30.74,19.39,332,2,10.2
TXS1-00034,25.61,19.25,697,3,5.18
TXS1-00035,18.72,11.81,417,5,1.51
TXS1-00036,8.96,10.29,436,3,9.48
TXS1-00037,18.98,15.22,444,2,0.86
TXS1-00038,49.71,21.14,226,2,8.3
TXS1-00039,48.02,15.36,567,1,24.16
TXS1-00040,132.52,15.64,628,2,9.31
TXS1-00041,59.42,21.1,216,2,5.47
TXS1-00042,115.25,14.8,187,4,10.9
TXS1-00043,20.37,14.07,415,2,2.85
TXS1-00044,18.54,11.08,98,3,16.55
TXS1-00045,31.46,9.41,472,3,1.92
TXS1-00046,49.62,9.08,138,1,51.53
TXS1-00047,29.39,5.26,932,5,24.53
TXS1-00048,29.44,14.72,1168,1,5.6
TXS1-00049,72.58,11.94,88,5,1.27
TXS1-00050,26.19,22.78,37,1,3.62
TXS1-00051,109.12,21.4,239,2,29.58
TXS1-00052,61.0,20.45,273,5,17.27
TXS1-00053,53.95,21.98,105,2,2.13
TXS1-00054,19.93,18.16,70,2,2.84
TXS1-00055,50.43,15.57,176,2,6.58
TXS1-00056,43.23,20.54,50,4,23.17
TXS1-00057,73.09,14.03,28,4,3.78
TXS1-00058,26.31,23.57,182,4,41.14
TXS1-00059,82.03,20.3,481,1,2.45
TXS1-00060,6.23,14.04,208,2,0.89
TXS1-00061,29.55,12.47,811,3,5.24
TXS1-00062,125.48,19.91,226,6,12.72
TXS1-00063,36.16,18.9,42,2,3.71
TXS1-00064,28.24,14.87,1,2,5.4
TXS1-00065,107.67,16.26,538,2,7.59
TXS1-00066,27.25,13.79,23,3,16.64
TXS1-00067,22.76,19.93,517,2,1.0
TXS1-00068,46.28,8.23,20,1,43.14
TXS1-00069,46.94,13.92,131,1,0.38
TXS1-00070,45.6,14.42,80,1,6.54
TXS1-00071,21.99,14.12,935,2,5.74
TXS1-00072,25.84,21.39,152,5,0.87
TXS1-00073,26.32,9.85,22,3,22.31
TXS1-00074,67.81,12.76,407,5,13.33
TXS1-00075,22.78,22.42,51,3,21.95
TXS1-00076,31.67,20.78,603,2,8.89
TXS1-00077,35.03,22.68,214,4,10.09
TXS1-00078,37.98,12.55,95,7,6.83
TXS1-00079,41.16,9.54,200,2,6.46
TXS1-00080,37.99,15.83,109,3,5.36
TXS1-00081,57.66,19.83,871,3,18.08
TXS1-00082,15.74,12.96,264,1,16.42
TXS1-00083,29.98,13.21,215,2,15.88
TXS1-00084,74.88,19.57,854,1,8.33
TXS1-00085,47.51,19.97,194,1,1.06
TXS1-00086,50.57,20.23,173,3,3.24
TXS1-00087,31.76,18.45,650,2,1.37
TXS1-00088,34.87,12.31,270,3,13.37
TXS1-00089,44.05,12.47,183,2,1.27
TXS1-00090,108.15,18.62,734,3,15.23
TXS1-00091,24.33,14.74,659,2,1.41
TXS1-00092,80.88,7.39,99,2,7.59
TXS1-00093,15.42,12.3,92,2,18.15
TXS1-00094,24.16,14.13,698,3,2.59
TXS1-00095,45.31,12.9,451,4,2.17
TXS1-00096,37.92,11.12,378,3,4.83
TXS1-00097,20.84,18.19,163,3,4.08
TXS1-00098,38.95,21.41,234,2,1.15
TXS1-00099,93.76,11.0,2258,4,7.82
TXS1-00100,18.85,21.01,124,4,34.58
TXS1-00101,17.05,21.69,109,2,2.06
TXS1-00102,22.32,12.23,218,4,3.37
TXS1-00103,45.14,17.26,334,4,3.18
TXS1-00104,58.71,4.84,164,2,1.68
TXS1-00105,57.83,16.17,698,4,2.89
TXS1-00106,64.5,10.66,530,2,1.96
TXS1-00107,76.9,16.12,279,1,12.7
TXS1-00108,23.65,15.56,1017,3,0.86
TXS1-00109,49.53,11.26,42,4,0.78
TXS1-00110,140.17,22.73,458,3,11.27
TXS1-00111,54.07,15.9,870,3,1.81
TXS1-00112,217.67,17.66,368,3,0.67
TXS1-00113,63.95,14.8,954,3,7.32
TXS1-00114,24.33,14.56,958,4,9.83
TXS1-00115,21.68,19.09,6,2,14.39
TXS1-00116,38.91,22.71,140,2,2.76
TXS1-00117,14.3,8.86,154,1,15.42
TXS1-00118,11.07,21.76,73,3,27.32
TXS1-00119,13.07,15.12,35,4,17.78
TXS1-00120,49.72,20.12,10,4,3.49
TXS1-00121,11.57,5.86,176,2,37.97
TXS1-00122,35.4,6.14,312,1,1.05
TXS1-00123,103.0,22.93,267,6,10.61
TXS1-00124,16.49,12.13,574,3,22.18
TXS1-00125,55.24,14.93,264,2,2.03
TXS1-00126,96.65,14.68,83,3,12.37
TXS1-00127,49.43,13.07,326,7,1.76
TXS1-00128,14.81,14.84,43,3,6.05
TXS1-00129,22.64,11.87,514,3,4.53
TXS1-00130,51.73,11.1,84,5,19.63
TXS1-00131,13.83,13.98,119,3,15.43
TXS1-00132,7.8,14.12,289,4,16.27
TXS1-00133,153.56,9.87,46,2,2.66
TXS1-00134,23.39,21.6,219,2,2.23
TXS1-00135,50.25,15.15,565,2,0.85
TXS1-00136,13.04,10.64,187,1,9.32
TXS1-00137,30.2,12.05,219,4,11.54
TXS1-00138,79.22,12.28,77,3,17.79
TXS1-00139,54.62,23.17,630,4,1.24
TXS1-00140,33.32,15.57,168,3,7.86
TXS1-00141,18.77,8.14,165,1,3.75
TXS1-00142,145.2,19.59,149,2,1.53
TXS1-00143,33.14,13.23,130,3,22.56
TXS1-00144,8.52,19.82,74,1,14.74
TXS1-00145,74.01,14.19,308,6,44.93
TXS1-00146,10.91,11.51,480,4,7.2
TXS1-00147,30.7,13.91,91,4,13.18
TXS1-00148,34.41,13.6,800,4,18.55
TXS1-00149,17.17,17.29,438,2,48.55
TXS1-00150,39.87,11.42,636,1,3.17
TXS1-00151,24.41,15.46,27,2,2.59
TXS1-00152,50.11,12.07,90,1,3.07
TXS1-00153,64.91,15.7,165,2,12.58
TXS1-00154,47.58,12.72,301,2,22.78
TXS1-00155,40.32,13.1,350,2,7.45
