transaction_id,montant_eur,heure,anciennete_client_j,nb_articles,distance_domicile_km,fraude
TXREF-00001,43.35,8.69,505,3,13.82,0
TXREF-00002,16.46,16.85,105,3,1.98,0
TXREF-00003,59.76,21.17,105,4,57.11,1
TXREF-00004,68.53,12.08,378,3,8.99,0
TXREF-00005,8.54,13.2,535,1,1.32,0
TXREF-00006,13.63,17.32,131,5,5.86,0
TXREF-00007,38.17,16.34,843,2,3.14,0
TXREF-00008,27.72,13.59,462,2,10.61,0
TXREF-00009,34.39,10.35,265,2,0.95,0
TXREF-00010,18.84,10.58,85,2,5.5,0
TXREF-00011,65.57,16.41,75,2,45.93,1
TXREF-00012,60.95,19.31,384,1,8.65,0
TXREF-00013,36.51,21.54,172,4,0.78,0
TXREF-00014,78.38,19.2,78,2,7.35,0
TXREF-00015,48.75,21.13,443,4,4.71,0
TXREF-00016,18.75,16.38,3151,4,14.41,0
TXREF-00017,45.4,10.6,170,2,9.8,0
TXREF-00018,17.45,10.07,66,2,9.24,0
TXREF-00019,65.53,16.55,68,5,3.61,0
TXREF-00020,33.58,13.1,104,5,0.77,0
TXREF-00021,30.47,17.76,93,2,7.71,0
TXREF-00022,21.32,14.46,638,3,1.82,0
TXREF-00023,83.95,22.82,213,1,15.2,1
TXREF-00024,31.15,12.49,236,2,2.01,0
TXREF-00025,25.57,15.25,273,2,125.44,0
TXREF-00026,27.02,11.46,207,3,1.79,0
TXREF-00027,51.07,17.62,261,5,8.12,0
TXREF-00028,45.29,20.75,424,2,0.65,0
TXREF-00029,46.86,11.24,209,3,49.41,0
TXREF-00030,47.47,19.95,42,3,2.14,0
TXREF-00031,162.71,18.71,385,4,8.45,0
TXREF-00032,25.98,18.33,446,3,10.6,0
TXREF-00033,24.08,9.79,1056,4,14.79,0
TXREF-00034,19.38,12.83,273,4,10.82,0
TXREF-00035,54.24,19.51,107,2,5.08,0
TXREF-00036,78.48,13.79,847,2,15.82,0
TXREF-00037,32.07,14.91,751,2,6.5,0
TXREF-00038,19.01,17.61,316,2,0.95,0
TXREF-00039,19.23,10.06,234,4,2.22,0
TXREF-00040,55.61,11.31,623,3,19.63,0
TXREF-00041,59.45,21.79,30,2,14.64,0
TXREF-00042,51.47,18.17,88,2,1.01,0
TXREF-00043,21.56,17.58,666,2,3.62,0
TXREF-00044,41.15,16.62,71,2,1.84,0
TXREF-00045,37.86,13.87,510,2,5.32,0
TXREF-00046,40.75,17.93,294,3,4.31,0
TXREF-00047,65.2,13.83,2267,3,6.67,0
TXREF-00048,40.89,16.17,777,1,17.86,0
TXREF-00049,56.76,17.24,215,5,6.28,0
TXREF-00050,36.55,22.31,10,4,3.32,1
TXREF-00051,42.87,14.14,21,3,13.09,0
TXREF-00052,54.85,13.16,85,6,7.93,0
TXREF-00053,12.19,18.46,415,3,2.63,0
TXREF-00054,27.66,18.71,13,1,2.35,0
TXREF-00055,24.81,12.58,296,3,5.09,0
TXREF-00056,21.98,10.78,1587,2,2.65,0
TXREF-00057,28.56,18.22,334,2,1.82,0
TXREF-00058,102.14,21.15,982,5,14.91,1
TXREF-00059,18.66,8.9,31,3,32.15,0
TXREF-00060,69.91,16.06,860,2,43.01,0
TXREF-00061,10.36,14.33,262,1,5.4,0
TXREF-00062,27.35,10.61,578,2,9.65,0
TXREF-00063,39.14,14.71,72,6,3.12,0
TXREF-00064,53.09,14.85,316,4,5.21,0
TXREF-00065,58.1,12.46,290,4,2.24,0
TXREF-00066,61.63,20.51,161,7,18.9,0
TXREF-00067,27.08,1.01,538,3,4.67,0
TXREF-00068,24.96,17.61,181,2,16.72,0
TXREF-00069,64.57,9.34,120,4,14.66,0
TXREF-00070,30.33,9.31,956,2,8.29,0
TXREF-00071,13.89,15.47,124,3,8.74,0
TXREF-00072,15.39,19.94,569,4,2.17,0
TXREF-00073,17.96,20.28,925,3,2.07,0
TXREF-00074,49.8,14.46,978,2,0.7,0
TXREF-00075,38.57,10.05,342,2,2.47,0
TXREF-00076,57.23,11.7,241,1,2.36,0
